SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
0087,Emmy-Noether-Gymnasium Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0088,Gymnasium Freyung,Gymnasium,2,272,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Freyung-Grafenau,Landkreis
0089,Graf-Rasso-Gymnasium Fürstenfeldbruck,Gymnasium,1,179,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Fürstenfeldbruck,Landkreis
0090,Maristengymnasium Fürstenzell,Gymnasium,2,275,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Passau,Landkreis
0091,Heinrich-Schliemann-Gymnasium Fürth,Gymnasium,5,563,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Fürth,Stadtkreis
0092,Hardenberg-Gymnasium Fürth,Gymnasium,5,563,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Fürth,Stadtkreis
0093,Helene-Lange-Gymnasium Fürth,Gymnasium,5,563,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Fürth,Stadtkreis
0094,Gymnasium Füssen,Gymnasium,7,777,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Ostallgäu,Landkreis
0095,Maristen-Gymnasium Furth,Gymnasium,2,274,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Landshut,Landkreis
0096,Franken-Landschulheim  Schloss Gaibach  öffentliches Gymnasium Volkach,Gymnasium,6,675,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Kitzingen,Landkreis
0097,Werdenfels-Gymnasium Garmisch-Partenkirchen,Gymnasium,1,180,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Garmisch-Partenkirchen,Landkreis
0098,Erzbischöfliches St.-Irmengard-Gymnasium Garmisch-Partenkirchen,Gymnasium,1,180,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Garmisch-Partenkirchen,Landkreis
0099,Gymnasium Gars a.Inn,Gymnasium,1,183,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Mühldorf a. Inn,Landkreis
0100,Otto-von-Taube-Gymnasium Gauting,Gymnasium,1,188,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Starnberg,Landkreis
0101,Friedrich-List-Gymnasium Gemünden,Gymnasium,6,677,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Main-Spessart,Landkreis
0102,Max-Born-Gymnasium Germering,Gymnasium,1,179,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Fürstenfeldbruck,Landkreis
0103,Gymnasium Maria Stern Augsburg des Schulwerks der Diözese Augsburg,Gymnasium,7,761,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,Stadt Augsburg,Stadtkreis
0104,Kurt-Huber-Gymnasium Gräfelfing,Gymnasium,1,184,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK München,Landkreis
0105,Landgraf-Leuchtenberg-Gymnasium Grafenau,Gymnasium,2,272,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Freyung-Grafenau,Landkreis
0106,Max-Mannheimer-Gymnasium Grafing,Gymnasium,1,175,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Ebersberg,Landkreis
0107,Dossenberger-Gymnasium Günzburg,Gymnasium,7,774,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Günzburg,Landkreis
0108,Maria-Ward-Gymnasium Günzburg d. Schulwerks d. Diözese Augsburg,Gymnasium,7,774,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Günzburg,Landkreis
0109,Simon-Marius-Gymnasium Gunzenhausen,Gymnasium,5,577,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Weißenburg-Gunzenhausen,Landkreis
0110,Frobenius-Gymnasium Hammelburg,Gymnasium,6,672,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Bad Kissingen,Landkreis
0111,Regiomontanus-Gymnasium Haßfurt,Gymnasium,6,674,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Haßberge,Landkreis
0112,Paul-Pfinzing-Gymnasium Hersbruck,Gymnasium,5,574,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Nürnberger Land,Landkreis
0113,Gymnasium Hilpoltstein,Gymnasium,5,576,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Roth,Landkreis
0114,Gymnasium Höchstadt a.d.Aisch,Gymnasium,5,572,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Erlangen-Höchstadt,Landkreis
0115,Jean-Paul-Gymnasium Hof,Gymnasium,4,464,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Hof,Stadtkreis
0116,Schiller-Gymnasium Hof,Gymnasium,4,464,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Hof,Stadtkreis
0117,Johann-Christian-Reinhart-Gymnasium Hof,Gymnasium,4,464,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,Stadt Hof,Stadtkreis
0118,Erzbischöfliches St.-Ursula-Gymnasium Schloss Hohenburg Lenggries,Gymnasium,1,173,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Bad Tölz-Wolfratshausen,Landkreis
0119,Gymnasium Hohenschwangau,Gymnasium,7,777,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Ostallgäu,Landkreis
0120,Rainer-Maria-Rilke-Gymnasium Icking,Gymnasium,1,173,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Bad Tölz-Wolfratshausen,Landkreis
0121,Kolleg der Schulbrüder Illertissen - Gymnasium - des Schulwerks der Diözese Augsburg,Gymnasium,7,775,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Neu-Ulm,Landkreis
0122,Gymnasium Ergolding,Gymnasium,2,274,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Landshut,Landkreis
0123,Reuchlin-Gymnasium Ingolstadt,Gymnasium,1,161,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,Stadt Ingolstadt,Stadtkreis
